"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"SKP1",0.262221457487033,13.2250911746169,2.11291318750319,0.0399250759949728,0.228600077796187,-4.07602555257655,"SKP1",0.153640006777868,1.39875424853535,"no"
"PDF",0.261947919216874,11.2210557886707,2.17066198272777,0.0385297970321449,0.223503832683448,-3.83302552944315,"PDF",0.150214867376293,1.4142032787641,"no"
"HDHD5",0.261704646807711,13.2054560623735,2.21908986539465,0.0313247904225927,0.198482133600736,-3.87278370301772,"HDHD5",0.13339801388384,1.50411182595603,"no"
"PRDX5",0.261678810668872,17.2635436223802,2.59395762550995,0.0125986371739008,0.121221359810518,-3.09331026655121,"PRDX5",0.0814717594257134,1.89967643106223,"no"
"YARS1",0.261557737635968,13.1147823866435,3.54436037466036,0.000899774434077703,0.0340589750366605,-0.748730445224791,"YARS1",0.0228907234237478,3.04586635090897,"yes"
"STAT1",0.261515218421113,11.883476799676,2.46708187472601,0.0173059673222226,0.142551725114194,-3.3675392781803,"STAT1",0.0958077014841102,1.76180412067136,"no"
"DLAT",0.26134098764598,17.3028801187918,2.77747821910021,0.00783508129131458,0.0924500427086924,-2.67892716240246,"DLAT",0.062134822198274,2.10595649323672,"no"
"HLA-DRB1",0.26133438133518,12.8713576024247,2.09569939974942,0.0416172583935312,0.232524333233625,-4.10069202823282,"HLA-DRB1",0.156277462713222,1.38072653305708,"no"
"TSFM",0.260861026834897,12.5634186443668,2.35384399717208,0.022795054693128,0.168302773402846,-3.60342222685864,"TSFM",0.113114743860243,1.64215936143986,"no"
"RPL22",0.260816720924833,12.8523967016459,2.85333212520539,0.0064048349110085,0.085435510563932,-2.5018031857769,"RPL22",0.0574204197507586,2.19349206001173,"no"
"SUCLG1",0.259894051651091,16.9318266676482,2.09505495680901,0.0415589516588159,0.232524333233625,-4.10941099006652,"SUCLG1",0.156277462713222,1.38133541622876,"no"
"ATP2B1",0.259566569071765,11.779213750736,2.65978795617297,0.0107126127275459,0.110696998184641,-2.94313238160566,"ATP2B1",0.0743984329110388,1.97010459501567,"no"
"MTDH",0.258970989935467,9.66941363573467,1.2241733671949,0.230674789073203,0.545690277894953,-5.22858626319627,"MTDH",0.366753409721699,0.636999867831258,"no"
"CROCC",0.258737635773215,12.5323783504873,0.874395473576687,0.389039887519899,0.68809938387722,-5.56712979019375,"CROCC",0.462465258200827,0.410005869004074,"no"
"BIN1",0.258520188120087,16.5935455423116,2.73375183175243,0.0087883704277612,0.099751464343447,-2.77950315911307,"BIN1",0.067042040429634,2.05609164595474,"no"
