"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"OGDH",-0.000400476048572074,18.0452834727239,-0.00616178227090901,0.995132096398459,0.998183555341185,-6.33860787051313,"OGDH",0.707400650820936,0.00211926605917461,""
"LAMB2",-0.000477280189448592,13.8760422330935,-0.0036218099096194,0.997138701654505,0.998183555341185,-6.33862039275251,"LAMB2",0.707400650820936,0.00124442727160412,""
"HADHB",-0.000547391952938625,17.201187294573,-0.00647983879730389,0.994880830373984,0.998183555341185,-6.33860584441024,"HADHB",0.707400650820936,0.00222893715430272,""
"DGLUCY",-0.000638111818981102,15.0585529967673,-0.00460734726210766,0.996363213934839,0.998183555341185,-6.2964992309177,"DGLUCY",0.707400650820936,0.00158231513796594,""
"CHORDC1",-0.000882544032684507,11.5470037082918,-0.00960797954951257,0.992409618551344,0.998183555341185,-6.3385804851038,"CHORDC1",0.707400650820936,0.00330903514597019,""
"RPN2",-0.000915888217972949,12.2310983075278,-0.00903388551995451,0.992863144237432,0.998183555341185,-6.33858587804855,"RPN2",0.707400650820936,0.00311061031489615,""
"AHSG",-0.00102135120610924,13.8548165297125,-0.00699641582829632,0.994472733455629,0.998183555341185,-6.33860233641806,"AHSG",0.707400650820936,0.00240711990213762,""
"USP14",-0.00104623941378534,13.9761491616236,-0.0174458554542606,0.986218139635806,0.994896581554459,-6.33847363404622,"USP14",0.705071212128504,0.00602701369771862,""
"PRKACA",-0.00114214516598388,15.2041888485681,-0.0226032835763882,0.982144518458849,0.992533917455241,-6.3383695523741,"PRKACA",0.703396820567438,0.00782460289402127,""
"AKT1S1",-0.00131795611321373,11.0918986825236,-0.00981825905833032,0.992257951629135,0.998183555341185,-6.25619462562375,"AKT1S1",0.707400650820936,0.00337541211359995,""
"FABP5",-0.00134512453473334,14.5427915006305,-0.005982421523342,0.995273792388287,0.998183555341185,-6.33860896813037,"FABP5",0.707400650820936,0.00205743164947885,""
"SRCIN1",-0.001438543939285,11.6177417329582,-0.00703143559807253,0.994503134592247,0.998183555341185,-5.9701828831819,"SRCIN1",0.707400650820936,0.00239384367683,""
