"","protein","group"
"1024","PXN","Male_type_I, Male_type_II, Female_type_II"
"1025","MAPKAPK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1026","ALDH9A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1027","RPIA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1028","LMAN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1029","NASP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1030","FNTA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1031","FNTB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1032","CCT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1033","MRPL19","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1034","TUFM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1035","ALDH7A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1036","CDC34","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1037","INPP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1038","SRP9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1039","UBE2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1040","PCYT1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1041","AARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1042","CARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1043","HARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1044","SARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1045","PSMB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1046","PSMB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1047","MCM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1048","ACADVL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1049","ACOT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1050","TMED10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1051","EIF2B2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1052","HINT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1053","RANBP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1054","NDUFV1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1055","GSK3B","Male_type_I, Female_type_I"
"1056","NT5C2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1057","SEPHS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1058","GMPS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1059","IDH3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1060","CRIP1","Male_type_I, Male_type_II, Female_type_II"
"1061","GDI2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1062","EMD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1063","GATM","Male_type_I, Female_type_I"
"1064","SERPINB9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1065","SERPINH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1066","CSRP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1067","ST13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1068","VASP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1069","DNM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1070","METAP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1071","NUDT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1072","HLCS","Male_type_I, Male_type_II, Female_type_II"
"1073","BCAM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1074","PPT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1075","RPL14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1076","CCT8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1077","CCT4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1078","ATP1A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1079","ANXA11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1080","FXR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1081","RAB7A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1082","RAB9A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1083","DAP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1084","DUSP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1085","IDH3G","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1086","GALK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1087","SSR4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1088","BCAP31","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1089","TPMT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1090","CAV2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1091","ALDH3A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1092","ALDH5A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1093","HSD17B4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1094","PSMD7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1095","SUOX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1096","STAT5B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1097","DYNLT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1098","RPS6KA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1099","HDGF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1100","LUM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1101","PRELP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1102","CNN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1103","NDUFA8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1104","HNRNPA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1105","MYOM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1106","PGD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1107","HNRNPM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1108","KPNA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1109","POLR2H","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1110","MAP2K6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1111","ARHGDIA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1112","ARHGDIB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1113","AGFG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1114","HNRNPF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1115","RIDA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1116","SMS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1117","MRPL12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1118","THOP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1119","AKR1C2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1120","CAPZA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1121","CRIP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1122","BLVRA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1123","PPP5C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1124","NUBP1","Male_type_I, Male_type_II, Female_type_I"
"1125","METAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1126","SUCLG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1127","RABGGTB","Male_type_I, Male_type_II, Female_type_II"
"1128","COPB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1129","COPA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1130","CTSC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1131","AP2S1","Male_type_I, Male_type_II, Female_type_II"
"1132","HCCS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1133","MAPK12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1134","SMTN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1135","SLC16A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1136","IST1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1137","SEC24C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1138","SUB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1139","POLG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1140","CLNS1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1141","RARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1142","CACNA2D1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1143","MYOM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1144","YARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1145","USP14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1146","PRKAG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1147","PRKAA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1148","HSPA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1149","RAD23A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1150","RAD23B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1151","AK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1152","NAPA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1153","ADPRH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1154","EIF5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1155","PSMD4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1156","DRG2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1157","RRAD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1158","CSE1L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1159","VCP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1160","MFAP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1161","HADHB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1162","NAP1L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1163","ADK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1164","LAMB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1165","CDH13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1166","SEC13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1167","SNU13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1168","NPEPPS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1169","GFER","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1170","HNRNPH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1171","OXCT1","Male_type_I, Female_type_I"
"1172","SH3BGR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1173","EIF3B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1174","FCGRT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1175","ATP5MF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1176","NDUFV3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1177","MARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1178","ITGA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1179","ATP5MJ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1180","ATP5ME","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1181","EIF6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1182","NDUFA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1183","SYNJ2BP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1184","EEFSEC","Male_type_I, Female_type_I"
"1185","SMIM11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1186","MTPN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1187","DEFA1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1188","ARPC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1189","TPI1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1190","EIF3E","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1191","UBE2G2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1192","MYL6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1193","ACTB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1194","EIF4A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1195","RPS20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1196","PRPS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1197","PSMA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1198","S100A10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1199","CDC42","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1200","DSTN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1201","GMFB","Male_type_I, Male_type_II"
"1202","RAB2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1203","RAB5B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1204","RAB10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1205","UBE2D3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1206","UBE2M","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1207","UBE2K","Male_type_I, Female_type_I"
"1208","UBE2N","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1209","RAB14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1210","ACTR3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1211","ACTR2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1212","ACTR1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1213","COPS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1214","ABCE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1215","RAP1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1216","RPS3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1217","RPL15","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1218","MAGOH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1219","RPL27","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1220","PCBD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1221","RHOA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1222","HSPE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1223","LYZ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1224","VBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1225","DAD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1226","COPZ1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1227","PKIA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1228","SUMO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1229","UFM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1230","DCAF7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1231","NUTF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1232","HNRNPK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1233","YWHAG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1234","RRAS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1235","TIMM10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1236","RPS7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1237","PPP1CB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1238","PSMC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1239","PSMC5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1240","RPS8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1241","RPS15A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1242","RPS16","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1243","UBE2G1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1244","UBE2H","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1245","YWHAE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1246","RPS14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1247","RPS23","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1248","RPS18","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1249","RPS29","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1250","RPS13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1251","RPS11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1252","SNRPE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1253","SNRPD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1254","TMSB4X","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1255","ARF6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1256","PSMC6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1257","RPL7A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1258","ETF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1259","CNBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1260","RPS4X","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1261","PPP2CB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1262","ACTA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1263","RPL23A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1264","RPS6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1265","H4C16","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1266","RAB1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1267","RAN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1268","RPL23","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1269","RAP1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1270","RPS24","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
